#GeneID	Ensembl_gene_identifier	RefSeqGene	RNA_nucleotide_accessions
119	ENSG00000075340	NG_029481	NM_001185054,NM_001185055,NM_001617,NM_017482,NM_017488,XM_011532502
120	ENSG00000148700	NG_051033	NM_001121,NM_001320591,NM_001320592,NM_001320593,NM_001320594,NM_016824,NM_019903,XM_024447794,XM_024447795,XM_024447796,XM_024447797,XM_024447798,XM_024447799,XM_024447800,XM_024447801,XM_024447802,XM_024447803,XM_024447804,XM_024447805,XM_024447806,XM_024447807,XM_024447808,XM_024447809,XM_024447810,XM_024447811,XM_024447812,XM_024447813,XM_024447814
123	ENSG00000147872	-	NM_001122,NR_038064,XM_017014259
124	ENSG00000187758	-	NM_000667
125	ENSG00000196616	NG_011435	NM_000668,NM_001286650
126	ENSG00000248144	NG_011718	NM_000669,NR_133005
127	ENSG00000198099	-	NM_000670,NM_001306171,NM_001306172
128	ENSG00000197894	-	NM_000671
130	ENSG00000172955	-	NM_000672,NM_001102470,NR_132990
131	ENSG00000196344	-	NM_000673,NM_001166504
132	ENSG00000156110	NG_030484	NM_001123,NM_001202449,NM_001202450,NM_001369123,NM_001369124,NM_006721,XM_017015698,XM_017015699,XM_017015702,XM_017015703,XM_017015704,XM_017015705,XM_017015706
133	ENSG00000148926	-	NM_001124
134	ENSG00000163485	NG_052917	NM_000674,NM_001048230,NM_001365065,NM_001365066,XM_005244901,XM_005244902
135	ENSG00000128271	NG_052804	NM_000675,NM_001278497,NM_001278498,NM_001278499,NM_001278500,NR_103543,NR_103544
136	ENSG00000170425	-	NM_000676,XM_011523659,XM_011523661,XM_017024197,XR_001752428
140	ENSG00000282608	NG_032119	NM_000677,NM_001302678,NM_001302679
141	ENSG00000144843	-	NM_001125,NM_001291949,NM_001291950,NM_001371092
142	ENSG00000143799	-	NM_001618
143	ENSG00000102699	-	NM_006437,XM_011534931,XM_011534932,XR_941496
144	ENSG00000227105	-	-
146	ENSG00000171873	-	NM_000678
147	ENSG00000170214	-	NM_000679,XM_005265818,XM_005265819,XM_006714821,XM_011534435,XM_011534437,XM_011534438
148	ENSG00000120907	NG_029395	NM_000680,NM_001322502,NM_001322503,NM_001322504,NM_033302,NM_033303,NM_033304,NR_136343,XM_006716292,XM_006716293,XM_011544411,XM_011544412,XM_017013094,XM_017013095,XM_017013096,XR_001745476,XR_001745477
150	ENSG00000150594	NG_012020	NM_000681
151	ENSG00000274286	NG_032950	NM_000682
152	ENSG00000184160	NG_012640	NM_000683
153	ENSG00000043591	NG_012187	NM_000684
154	ENSG00000169252	NG_016421	NM_000024
155	ENSG00000188778	NG_011936	NM_000025
156	ENSG00000173020	-	NM_001619,XM_011544773,XM_024448376,XR_001747779
157	ENSG00000100077	-	NM_001362778,NM_005160,XM_011529975,XR_001755175,XR_937823
158	ENSG00000239900	NG_007993	NM_000026,NM_001123378,NM_001317923,NM_001363840,NR_134256,XM_011529977,XM_011529980,XM_017028636,XM_017028637,XM_017028638,XM_017028639,XM_017028640,XM_024452166,XR_001755176,XR_002958670,XR_002958671,XR_937825
159	ENSG00000035687	-	NM_001126,NM_001365073,XM_011544108
160	ENSG00000196961	-	NM_014203,NM_130787,XM_011526556,XM_011526557
161	ENSG00000183020	-	NM_001242837,NM_012305,NR_144509,NR_144510,XM_011519929,XM_011519930
162	ENSG00000100280	-	NM_001127,NM_001166019,NM_001378562,NM_001378563,NM_001378564,NM_001378565,NM_001378566,NM_145730
163	ENSG00000006125	-	NM_001030006,NM_001282,XM_005257937,XM_005257938,XM_005257941,XM_011524448,XM_011524449,XM_011524450,XM_011524451,XM_011524452,XM_011524453,XM_011524454,XM_011524455,XM_017024284,XM_017024285,XM_017024286,XM_017024287
164	ENSG00000166747	-	NM_001030007,NM_001128
165	ENSG00000106624	NG_056775	NM_001129,XM_011515162
166	ENSG00000104964	NG_029870	NM_001130,NM_198969,NM_198970,XM_006722664
167	ENSG00000124812	-	NM_001131,NM_001205220,NM_170609,XM_011514315,XM_017010320,XM_017010321
172	ENSG00000223959	-	NR_003226,NR_003227,NR_003228
173	ENSG00000079557	-	NM_001133,XM_017007842,XM_017007843,XM_017007844
174	ENSG00000081051	NG_023028	NM_001134,NM_001354717
175	ENSG00000038002	NG_011845	NM_000027,NM_001171988,NR_033655,XR_001741155
176	ENSG00000157766	NG_012794	NM_001135,NM_001369268,NM_013227,XM_011521313,XM_011521314
177	ENSG00000204305	NG_029868	NM_001136,NM_001206929,NM_001206932,NM_001206934,NM_001206936,NM_001206940,NM_001206954,NM_001206966,NM_172197,NR_038190,XM_017010328,XR_001743189,XR_001743190
178	ENSG00000162688	NG_012865	NM_000028,NM_000642,NM_000643,NM_000644,NM_000646,XM_005270557,XM_017000501
181	ENSG00000159723	NG_011501	NM_001138
182	ENSG00000101384	NG_007496	NM_000214
183	ENSG00000135744	NG_008836	NM_001382817,NM_001384479
185	ENSG00000144891	NG_008468	NM_000685,NM_001382736,NM_001382737,NM_004835,NM_009585,NM_031850,NM_032049
186	ENSG00000180772	NG_016326	NM_000686,NM_001385624
187	ENSG00000134817	-	NM_005161,NR_027991
189	ENSG00000172482	NG_008005	NM_000030
190	ENSG00000169297	NG_009814	NM_000475
191	ENSG00000101444	NG_012630	NM_000687,NM_001161766,NM_001322084,NM_001322085,NM_001322086,NM_001362750,XM_005260317,XM_011528656,XM_011528657,XM_011528658,XM_011528659,XM_017027709,XM_017027710
196	ENSG00000106546	-	NM_001621
197	ENSG00000145192	NG_011436	NM_001354571,NM_001354572,NM_001354573,NM_001622
199	ENSG00000204472	-	NM_001318970,NM_001623,NM_032955,XM_005248870,XM_017010332
202	ENSG00000112297	-	NM_001371242,NM_001624,XM_017010333
203	ENSG00000106992	NG_011792	NM_000476,NM_001318121,NM_001318122,XM_017014428,XM_024447439,XM_024447440
204	ENSG00000004455	NG_016269	NM_001199199,NM_001319139,NM_001319140,NM_001319141,NM_001319142,NM_001319143,NM_001625,NM_013411,NR_134976,XR_001737036,XR_246248
205	ENSG00000162433	-	NM_001005353,NM_001330616,NM_013410,NM_203464,XM_017000613
207	ENSG00000142208	NG_012188	NM_001014431,NM_001014432,NM_001382430,NM_001382431,NM_001382432,NM_001382433,NM_005163,XR_002957536
208	ENSG00000105221	NG_012038	NM_001243027,NM_001243028,NM_001330511,NM_001626,XM_011526614,XM_011526615,XM_011526616,XM_011526618,XM_011526619,XM_011526620,XM_011526622,XM_017026470,XM_024451416,XM_024451417
210	ENSG00000148218	NG_008716	NM_000031,NM_001003945,NM_001317745,XM_011518364,XM_024447449,XR_002956764
211	ENSG00000023330	-	NM_000688,NM_001304443,NM_001304444,NM_199166,XM_011533477,XM_011533478,XM_017005873,XM_024453393
212	ENSG00000158578	NG_008983	NM_000032,NM_001037967,NM_001037968
213	ENSG00000163631	NG_009291	NM_000477
214	ENSG00000170017	NG_029729	NM_001243280,NM_001243281,NM_001243283,NM_001627
215	ENSG00000101986	NG_009022	NM_000033,XR_938507
216	ENSG00000165092	NG_012249	NM_000689
217	ENSG00000111275	NG_012250	NM_000690,NM_001204889
218	ENSG00000108602	NG_012251	NM_000691,NM_001135167,NM_001135168,NM_001330150,XM_005256522,XM_005256523,XM_005256524,XM_011523731
219	ENSG00000137124	NG_012253	NM_000692,XM_011517802
220	ENSG00000184254	NG_012254	NM_000693,NM_001293815
221	ENSG00000006534	NG_012282	NM_000694,NM_001030010,NM_001161473,NM_001290058,NM_001290059
222	ENSG00000132746	NG_012255	NM_001031615,NM_001354345
223	ENSG00000143149	NG_012256	NM_000696,NM_001365774
224	ENSG00000072210	NG_007095	NM_000382,NM_001031806,NM_001369136,NM_001369137,NM_001369138,NM_001369139,NM_001369146,NM_001369148,XM_024450651
225	ENSG00000173208	-	NM_005164,XM_011538027,XM_017018992,XM_017018993,XR_001748622,XR_001748623
226	ENSG00000149925	NG_008010	NM_001127617,NM_001243177,NM_184041,NM_184043
229	ENSG00000136872	NG_012387	NM_000035
230	ENSG00000109107	-	NM_005165,XM_005257949,XM_011524556
231	ENSG00000085662	-	NM_001346142,NM_001628,NR_144376,XM_005250234,XM_024446695
238	ENSG00000171094	NG_009445	NM_001353765,NM_004304,XM_024452778,XM_024452779,XR_001738688
239	ENSG00000108839	-	NM_000697,XM_011523780
240	ENSG00000012779	NG_011437	NM_000698,NM_001256153,NM_001256154,NM_001320861,NM_001320862,XM_017016012,XR_001747075
241	ENSG00000132965	NG_011963	NM_001204406,NM_001629,XM_017020522
242	ENSG00000179477	NG_007099	NM_001139
245	ENSG00000262943	-	NR_002710,NR_120453
246	ENSG00000161905	-	NM_001140
247	ENSG00000179593	NG_029482	NM_001039130,NM_001039131,NM_001141
248	ENSG00000163295	-	NM_001631
249	ENSG00000162551	NG_008940	NM_000478,NM_001127501,NM_001177520,NM_001369803,NM_001369804,NM_001369805,XM_017000903
250	ENSG00000163283	NG_012189	NM_001632
251	ENSG00000163286	-	NM_031313
257	ENSG00000156150	NG_012039	NM_006492
258	ENSG00000178522	NG_042078	NM_016519
259	ENSG00000106927	-	NM_001633
262	ENSG00000123505	-	NM_001287214,NM_001287215,NM_001287216,NM_001634,NR_109768
265	ENSG00000125363	NG_012040	NM_001142,NM_182680,NM_182681,XM_017029404
266	ENSG00000099721	NG_008011	NM_001143,NM_001364814
267	ENSG00000159461	NG_047034	NM_001144,NM_001323511,NM_001323512,XM_005255890
268	ENSG00000104899	NG_012190	NM_000479
269	ENSG00000135409	NG_015981	NM_001164690,NM_001164691,NM_020547,XM_011538173,XM_011538174,XM_011538176,XM_011538178,XM_011538179,XM_011538180,XM_011538181,XM_011538183,XM_011538184,XM_011538185,XM_011538186,XM_017019179,XM_024448938,XR_002957309,XR_002957310,XR_002957311,XR_002957312
270	ENSG00000116748	NG_008012	NM_000036,NM_001172626
271	ENSG00000116337	NG_034075	NM_001257360,NM_001257361,NM_001308170,NM_001368809,NM_004037,NM_139156,XM_024446431,XM_024446432,XR_002956282
272	ENSG00000133805	NG_012041	NM_000480,NM_001025389,NM_001025390,NM_001172430,NM_001172431
273	ENSG00000078053	-	NM_001635,NM_139316,XM_006715689,XM_006715690,XM_006715691,XM_011515271,XM_017011995,XM_017011996
274	ENSG00000136717	NG_012042	NM_001320632,NM_001320633,NM_001320634,NM_001320640,NM_001320641,NM_001320642,NM_004305,NM_139343,NM_139344,NM_139345,NM_139346,NM_139347,NM_139348,NM_139349,NM_139350,NM_139351
275	ENSG00000145020	NG_015986	NM_000481,NM_001164710,NM_001164711,NM_001164712,NR_028435
276	ENSG00000237763	-	NM_001008221,NM_004038
277	ENSG00000174876	-	NM_001008218,NM_001386925,XM_011541262
278	ENSG00000187733	-	NM_001008219,NM_001346780,XM_017001058
279	ENSG00000243480	-	NM_000699
280	ENSG00000240038	-	NM_001386109,NM_001387437,NM_020978
281	ENSG00000227408	-	-
283	ENSG00000214274	NG_008717	NM_001097577,NM_001145,NM_001385271,NM_001385272,NM_001385273,NM_001385274
284	ENSG00000154188	NG_029405	NM_001146,NM_001199859,NM_001314051,XR_928319
285	ENSG00000091879	NG_029483	NM_001118887,NM_001118888,NM_001147,NM_001386335,NM_001386336,NM_001386337,XM_017013318
286	ENSG00000029534	NG_012820	NM_000037,NM_001142445,NM_001142446,NM_020475,NM_020476,NM_020477,NM_020478,NM_020480,XM_005273476,XM_011544490,XM_011544491,XM_011544494,XM_011544495,XM_011544496,XM_011544500,XM_011544501,XM_011544502,XM_011544503,XM_011544504,XM_011544505,XM_017013319,XM_017013320,XM_017013321,XM_017013322,XM_017013323,XM_017013324,XM_017013325,XM_017013326,XM_017013327,XM_017013328,XM_017013329,XM_024447128
287	ENSG00000145362	NG_009006	NM_001127493,NM_001148,NM_001354225,NM_001354228,NM_001354230,NM_001354231,NM_001354232,NM_001354235,NM_001354236,NM_001354237,NM_001354239,NM_001354240,NM_001354241,NM_001354242,NM_001354243,NM_001354244,NM_001354245,NM_001354246,NM_001354249,NM_001354252,NM_001354253,NM_001354254,NM_001354255,NM_001354256,NM_001354257,NM_001354258,NM_001354260,NM_001354261,NM_001354262,NM_001354264,NM_001354265,NM_001354266,NM_001354267,NM_001354268,NM_001354269,NM_001354270,NM_001354271,NM_001354272,NM_001354273,NM_001354274,NM_001354275,NM_001354276,NM_001354277,NM_001354278,NM_001354279,NM_001354280,NM_001354281,NM_001354282,NM_001386142,NM_001386143,NM_001386144,NM_001386146,NM_001386147,NM_001386148,NM_001386149,NM_001386150,NM_001386151,NM_001386152,NM_001386153,NM_001386154,NM_001386156,NM_001386157,NM_001386158,NM_001386160,NM_001386161,NM_001386162,NM_001386166,NM_001386167,NM_001386174,NM_001386175,NM_001386186,NM_001386187,NM_020977,XM_005262945,XM_017008071,XM_017008072,XM_017008073,XM_017008074,XM_017008075,XM_017008076,XM_017008077,XM_017008078,XM_017008080,XM_024454016,XM_024454017,XM_024454018,XM_024454019,XM_024454020,XM_024454021,XM_024454022,XM_024454023
288	ENSG00000151150	NG_029917	NM_001149,NM_001204403,NM_001204404,NM_001320874,NM_020987,XM_005269715,XM_006717796,XM_006717802,XM_011539708,XM_011539709,XM_017016110,XM_017016111,XM_017016112,XM_017016113,XM_017016114,XM_017016115,XM_017016116,XM_017016117,XM_017016118,XM_017016119,XM_017016120,XM_017016121,XM_017016122,XM_017016123,XM_017016124,XM_017016125,XM_017016126,XM_017016127,XM_017016128,XM_017016129,XM_017016130,XM_017016131,XM_017016132,XM_017016134,XM_017016136,XM_017016137,XM_017016138,XM_017016141,XM_024447953,XM_024447954,XM_024447955,XM_024447956,XM_024447957,XM_024447958,XM_024447959,XM_024447960,XM_024447961,XM_024447962,XM_024447963,XM_024447964,XM_024447965
290	ENSG00000166825	-	NM_001150,NM_001381923,NM_001381924
291	ENSG00000151729	NG_013001	NM_001151
292	ENSG00000005022	NG_013262	NM_001152
293	ENSG00000169100	NG_013263	NM_001636
301	ENSG00000135046	-	NM_000700,XM_011518609,XM_017014657
302	ENSG00000182718	-	NM_001002857,NM_001002858,NM_001136015,NM_004039,XM_017022090,XM_017022091,XM_017022092,XM_017022093,XM_024449908
306	ENSG00000138772	-	NM_005139,XR_001741215
307	ENSG00000196975	-	NM_001153,NM_001320698,NM_001320700,NM_001320702,NM_001365496,XM_017003943,XM_017003944,XM_024452834,XM_024452835,XR_001738734
308	ENSG00000164111	NG_032042	NM_001154,XM_017008141
309	ENSG00000197043	-	NM_001155,NM_001193544,NM_001363114
310	ENSG00000138279	-	NM_001156,NM_001320879,NM_001320880,NM_004034,XM_017016162,XM_017016163
311	ENSG00000122359	-	NM_001157,NM_001278407,NM_001278408,NM_001278409,NM_145868,NM_145869,XM_005269741,XM_005269742,XM_006717813,XM_011539736
312	ENSG00000104537	-	NM_001003954,NM_004306
313	ENSG00000136250	-	NM_001177506,NM_001177507,NM_001637,XM_011515333,XM_011515334,XM_011515335,XM_011515336,XM_011515338,XM_011515339,XM_011515340,XM_011515341,XM_011515342,XM_017012102,XM_017012104,XM_017012105,XM_017012106
314	ENSG00000131480	-	NM_001158,NM_009590
316	ENSG00000138356	-	NM_001159,XM_011511062,XM_017003946,XM_017003947
317	ENSG00000120868	NG_029094	NM_001160,NM_013229,NM_181861,NM_181868,NM_181869,XM_017019250,XR_429095
318	ENSG00000164978	-	NM_001161,NM_001244390,NM_147172,NM_147173,XM_024447528
319	ENSG00000175336	-	NM_001638
320	ENSG00000107282	-	NM_001163,XM_005251968,XM_011518617,XM_017014670
321	ENSG00000034053	-	NM_001130414,NM_001353788,NM_001353789,NM_001353790,NM_001353791,NM_001353792,NM_001353793,NM_001353794,NM_001353795,NM_001353796,NM_001353797,NM_001379685,NM_005503,XM_011521488,XM_011521489,XM_011521490,XM_011521491,XM_011521492,XM_017022110,XM_017022112,XM_024449909
322	ENSG00000166313	NG_029615	NM_001164,NM_001257319,NM_001257320,NM_001257321,NM_001257323,NM_001257325,NM_001257326,NM_145689,NR_047512
323	ENSG00000163697	NG_013337	NM_001166050,NM_001166051,NM_001166052,NM_001166053,NM_001166054,NM_001330656,NM_001330658,NM_004307,NM_173075,XM_006714005,XM_006714007,XM_006714008,XM_006714009,XM_006714010,XM_006714011,XM_006714012,XM_011513686,XM_011513687,XM_011513688,XM_017008143,XM_017008144,XM_017008145,XM_017008146,XM_017008147,XM_017008148,XM_017008149,XM_017008151,XM_017008152,XM_017008154,XM_017008156,XM_017008157,XM_017008158
324	ENSG00000134982	NG_008481	NM_000038,NM_001127510,NM_001127511,NM_001354895,NM_001354896,NM_001354897,NM_001354898,NM_001354899,NM_001354900,NM_001354901,NM_001354902,NM_001354903,NM_001354904,NM_001354905,NM_001354906
325	ENSG00000132703	-	NM_001639
326	ENSG00000160224	NG_009556	NM_000383
327	ENSG00000164062	NG_011438	NM_001640,XM_005265097,XM_005265098,XM_011533658,XM_011533661,XM_011533662,XM_011533663,XM_017006285,XM_017006286,XM_024453499,XM_024453500,XM_024453501,XM_024453502,XM_024453503,XM_024453504,XM_024453505,XM_024453506,XM_024453507
328	ENSG00000100823	NG_008718	NM_001244249,NM_001641,NM_080648,NM_080649
329	ENSG00000110330	-	NM_001166,NM_001256163,NM_001256166
330	ENSG00000023445	NG_065365	NM_001165,NM_182962,XM_024448467
331	ENSG00000101966	NG_007264	NM_001167,NM_001204401,NM_001378590,NM_001378591,NM_001378592,NR_037916,NR_165803
332	ENSG00000089685	NG_029069	NM_001012270,NM_001012271,NM_001168,XR_243654,XR_934452
333	ENSG00000105290	-	NM_001024807,NM_005166,XM_017026737,XM_017026738
